timestamp,Ax,Ay,Az,Gx,Gy,Gz
2026-05-28T20:21:48.318578,0.08,-0.08,1.67,-11.15,-250.14,12.95
2026-05-28T20:21:48.418991,0.13,0.1,0.23,-100.15,-114.23,-56.94
2026-05-28T20:21:48.519850,0.49,-0.14,0.79,14.6,184.66,-2.67
2026-05-28T20:21:48.620848,-0.19,-0.13,1.33,-48.6,250.13,10.23
2026-05-28T20:21:48.721599,-0.1,-0.06,1.02,44.61,64.74,-9.15
2026-05-28T20:21:48.821761,-0.04,-0.09,0.97,-1.31,11.59,-3.08
2026-05-28T20:21:48.922718,-0.05,-0.05,0.95,-3.99,-3.51,5.18
2026-05-28T20:21:49.023708,-0.29,-0.09,0.92,-1.18,150.46,-38.56
2026-05-28T20:21:49.124702,-0.4,-0.11,0.73,-86.3,250.13,40.6
2026-05-28T20:21:49.225651,-0.72,-0.12,0.68,-1.24,-39.44,12.98
2026-05-28T20:21:49.326708,-0.71,-0.11,0.59,-9.25,27.29,-0.3
2026-05-28T20:21:49.427624,0.05,-0.34,1.28,-40.39,-250.14,-68.7
2026-05-28T20:21:49.527981,-0.02,-0.0,1.01,69.94,-5.76,-3.04
2026-05-28T20:21:49.628697,-0.02,-0.11,0.95,11.89,10.26,1.05
2026-05-28T20:21:49.729638,-0.06,-0.11,0.99,-5.44,4.02,-1.66
2026-05-28T20:21:49.830648,0.2,-0.31,1.11,-33.77,-39.43,-3.41
2026-05-28T20:21:49.931649,0.3,-0.34,1.16,-34.11,-99.98,-26.03
2026-05-28T20:21:50.032575,0.29,-0.25,0.92,-35.95,46.14,1.44
2026-05-28T20:21:50.133577,-0.01,-0.3,0.89,-15.12,16.82,-6.8
2026-05-28T20:21:50.233868,-0.0,-0.31,0.4,-5.21,27.63,17.34
2026-05-28T20:21:50.334648,0.03,-0.24,0.57,3.95,19.05,7.77
2026-05-28T20:21:50.435996,-0.15,-0.44,0.99,168.27,-89.69,47.56
2026-05-28T20:21:50.536702,0.21,-0.0,0.18,42.29,86.41,13.21
2026-05-28T20:21:50.637577,0.01,0.1,0.96,83.51,-71.6,19.38
2026-05-28T20:21:50.737729,0.2,0.14,1.45,76.99,-76.3,-11.56
2026-05-28T20:21:50.838693,0.21,0.31,0.53,-2.95,-225.4,42.59
2026-05-28T20:21:50.939663,0.37,0.39,0.41,1.14,-250.14,41.58
2026-05-28T20:21:51.040687,0.62,0.33,0.08,-39.44,-197.51,50.6
2026-05-28T20:21:51.141647,1.04,0.18,0.5,15.53,-26.95,7.68
2026-05-28T20:21:51.242602,1.09,0.17,-0.08,-16.96,-28.13,-6.56
2026-05-28T20:21:51.343614,0.64,0.27,0.42,185.23,235.42,-146.87
2026-05-28T20:21:51.443845,0.58,0.55,0.27,69.31,146.47,-103.15
2026-05-28T20:21:51.544700,0.36,0.82,0.31,6.91,186.31,-127.47
2026-05-28T20:21:51.645609,0.01,0.77,0.3,0.65,16.61,-18.89
2026-05-28T20:21:51.746673,0.48,0.27,0.39,-242.64,-135.74,131.69
2026-05-28T20:21:51.847709,0.13,0.32,0.69,-151.2,113.85,-22.36
2026-05-28T20:21:51.947677,0.19,0.17,0.83,-33.95,74.99,-3.54
2026-05-28T20:21:52.048938,-0.06,0.26,1.11,-35.04,59.7,39.85
2026-05-28T20:21:52.149657,-0.15,0.05,0.86,-50.85,73.76,3.27
2026-05-28T20:21:52.250642,0.32,0.01,0.49,35.27,-42.26,-27.15
2026-05-28T20:21:52.351605,0.01,-0.05,0.95,-2.73,-1.59,-4.5
2026-05-28T20:21:52.452697,-0.02,-0.04,0.97,-2.24,0.98,-0.4
2026-05-28T20:21:52.552727,-0.01,-0.04,0.96,-2.31,0.89,-0.38
2026-05-28T20:21:52.653690,-0.02,-0.04,0.96,-2.3,1.06,-0.24
2026-05-28T20:21:52.754742,-0.02,-0.04,0.96,-2.2,1.27,-0.33
2026-05-28T20:21:52.855659,-0.02,-0.04,0.98,-2.26,0.99,-0.27
2026-05-28T20:21:52.956610,-0.02,-0.04,0.96,-2.44,0.94,-0.28
2026-05-28T20:21:53.057577,-0.01,-0.04,0.97,-2.44,0.53,-0.35
2026-05-28T20:21:53.157728,-0.02,-0.04,0.97,-2.22,0.79,-0.1
2026-05-28T20:21:53.258703,-0.01,-0.04,0.96,-1.97,1.5,-0.18
2026-05-28T20:21:53.359686,-0.02,-0.04,0.97,-2.48,1.05,-0.34
2026-05-28T20:21:53.460661,-0.01,-0.05,0.96,-2.76,0.19,-0.24
2026-05-28T20:21:53.561634,-0.01,-0.04,0.97,-2.13,0.99,-0.19
2026-05-28T20:21:53.662678,-0.01,-0.04,0.97,-2.16,1.15,-0.15
2026-05-28T20:21:53.763528,-0.02,-0.05,0.97,-2.25,0.79,-0.31
2026-05-28T20:21:53.863710,-0.01,-0.04,0.96,-2.27,1.02,-0.34
